Dataset,Package,File,"Number of errors"
top1k-typed-nodeps,caniuse-lite,data/features/array-find.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/array-flat.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/array-includes.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/arrow-functions.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/asmjs.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/async-clipboard.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/async-functions.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/atob-btoa.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/audio-api.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/audio.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/audiotracks.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/autofocus.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/auxclick.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/av1.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/avif.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/background-attachment.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/background-clip-text.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/background-img-opts.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/background-position-x-y.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/background-repeat-round-space.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/background-sync.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/battery-status.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/beacon.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/beforeafterprint.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/bigint.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/blobbuilder.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/bloburls.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/border-image.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/border-radius.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/broadcastchannel.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/brotli.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/calc.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/canvas-blending.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/canvas-text.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/canvas.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/ch-unit.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/chacha20-poly1305.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/channel-messaging.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/childnode-remove.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/classlist.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/client-hints-dpr-width-viewport.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/clipboard.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/colr-v1.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/colr.ts,0
top1k-typed-nodeps,caniuse-lite,data/features/comparedocumentposition.ts,0
