"Dataset","Package","DeepTyper type checks","LambdaNet type checks","InCoder type checks","SantaCoder type checks"
top1k-typed-nodeps-es6,binary-extensions,1,NA,1,1
top1k-typed-nodeps-es6,bn.js,NA,NA,0,0
top1k-typed-nodeps-es6,boolbase,1,1,1,1
top1k-typed-nodeps-es6,brorand,0,0,0,0
top1k-typed-nodeps-es6,browser-process-hrtime,0,NA,0,0
top1k-typed-nodeps-es6,buffer-crc32,0,0,0,0
top1k-typed-nodeps-es6,buffer-from,0,0,0,0
top1k-typed-nodeps-es6,bytes,0,0,0,0
top1k-typed-nodeps-es6,cacheable-lookup,0,0,0,0
top1k-typed-nodeps-es6,callsites,0,0,1,1
top1k-typed-nodeps-es6,camelcase,0,0,0,0
top1k-typed-nodeps-es6,caniuse-lite,NA,NA,0,0
top1k-typed-nodeps-es6,caseless,0,NA,0,0
top1k-typed-nodeps-es6,char-regex,0,NA,1,1
top1k-typed-nodeps-es6,chownr,0,0,0,0
top1k-typed-nodeps-es6,ci-info,0,0,0,0
top1k-typed-nodeps-es6,cjs-module-lexer,NA,0,0,0
top1k-typed-nodeps-es6,cli-boxes,0,NA,0,0
top1k-typed-nodeps-es6,cli-spinners,0,NA,0,0
top1k-typed-nodeps-es6,clone,0,0,0,0
top1k-typed-nodeps-es6,co,0,0,0,0
top1k-typed-nodeps-es6,collect-v8-coverage,0,0,0,0
top1k-typed-nodeps-es6,color-name,1,NA,1,1
top1k-typed-nodeps-es6,color-support,1,0,0,0
top1k-typed-nodeps-es6,colorette,NA,0,0,0
top1k-typed-nodeps-es6,colors,0,0,0,0
top1k-typed-nodeps-es6,component-emitter,0,NA,0,0
top1k-typed-nodeps-es6,content-type,0,0,0,1
top1k-typed-nodeps-es6,cookie,0,0,0,0
top1k-typed-nodeps-es6,cookie-signature,0,0,0,1
top1k-typed-nodeps-es6,create-require,0,0,0,0
top1k-typed-nodeps-es6,cssesc,NA,0,0,0
top1k-typed-nodeps-es6,cssom,0,0,0,0
top1k-typed-nodeps-es6,decamelize,0,1,1,1
top1k-typed-nodeps-es6,decimal.js,NA,0,0,0
top1k-typed-nodeps-es6,decode-uri-component,0,0,0,0
top1k-typed-nodeps-es6,dedent,0,0,0,0
top1k-typed-nodeps-es6,deep-extend,1,NA,0,0
top1k-typed-nodeps-es6,deepmerge,0,0,0,0
top1k-typed-nodeps-es6,define-lazy-prop,0,0,1,1
top1k-typed-nodeps-es6,delegates,0,0,0,0
top1k-typed-nodeps-es6,depd,0,0,0,0
top1k-typed-nodeps-es6,destroy,0,0,0,0
top1k-typed-nodeps-es6,detect-newline,0,0,0,1
top1k-typed-nodeps-es6,detect-node,1,NA,1,1
top1k-typed-nodeps-es6,diff,0,0,0,0
top1k-typed-nodeps-es6,dotenv,0,0,0,0
top1k-typed-nodeps-es6,duplexer3,0,0,0,0
top1k-typed-nodeps-es6,ee-first,0,0,1,0
top1k-typed-nodeps-es6,emittery,0,0,0,0
top1k-typed-nodeps-es6,emoji-regex,1,1,1,1
top1k-typed-nodeps-es6,encodeurl,0,1,1,1
top1k-typed-nodeps-es6,escalade,0,0,0,0
top1k-typed-nodeps-es6,escape-html,0,0,0,0
top1k-typed-nodeps-es6,escape-string-regexp,1,1,1,1
top1k-typed-nodeps-es6,eslint-visitor-keys,0,0,0,0
top1k-typed-nodeps-es6,estraverse,0,0,0,0
top1k-typed-nodeps-es6,esutils,0,0,0,0
top1k-typed-nodeps-es6,etag,0,0,0,0
top1k-typed-nodeps-es6,eventemitter3,0,0,0,0
top1k-typed-nodeps-es6,events,0,0,0,0
top1k-typed-nodeps-es6,eventsource,NA,0,0,0
top1k-typed-nodeps-es6,exec-sh,0,0,0,0
top1k-typed-nodeps-es6,exit,0,0,0,0
top1k-typed-nodeps-es6,extend,0,0,0,0
top1k-typed-nodeps-es6,extsprintf,0,0,0,0
top1k-typed-nodeps-es6,fast-deep-equal,0,0,0,0
top1k-typed-nodeps-es6,fast-json-stable-stringify,0,0,0,0
top1k-typed-nodeps-es6,filesize,0,NA,0,0
top1k-typed-nodeps-es6,filter-obj,0,0,0,0
top1k-typed-nodeps-es6,flatted,0,0,0,0
top1k-typed-nodeps-es6,follow-redirects,0,0,0,0
top1k-typed-nodeps-es6,forever-agent,0,NA,0,0
top1k-typed-nodeps-es6,forwarded,0,0,0,0
top1k-typed-nodeps-es6,fraction.js,0,0,0,0
top1k-typed-nodeps-es6,fresh,0,0,0,0
top1k-typed-nodeps-es6,fsevents,0,0,0,0
top1k-typed-nodeps-es6,function-bind,0,0,0,0
top1k-typed-nodeps-es6,functional-red-black-tree,NA,0,0,0
top1k-typed-nodeps-es6,gensync,0,0,0,0
top1k-typed-nodeps-es6,get-stdin,0,0,1,1
top1k-typed-nodeps-es6,get-stream,0,0,0,0
top1k-typed-nodeps-es6,glob-to-regexp,1,0,0,0
top1k-typed-nodeps-es6,graceful-fs,0,0,0,0
top1k-typed-nodeps-es6,hard-rejection,0,0,0,0
top1k-typed-nodeps-es6,has-flag,0,0,0,0
top1k-typed-nodeps-es6,has-symbols,0,NA,0,0
top1k-typed-nodeps-es6,html-escaper,0,0,0,0
top1k-typed-nodeps-es6,http-cache-semantics,0,0,0,0
top1k-typed-nodeps-es6,human-signals,0,0,0,0
top1k-typed-nodeps-es6,icss-utils,0,0,0,0
top1k-typed-nodeps-es6,ieee754,0,1,1,1
top1k-typed-nodeps-es6,iferr,1,0,1,1
top1k-typed-nodeps-es6,ignore,NA,0,0,0
top1k-typed-nodeps-es6,import-from,0,1,1,1
top1k-typed-nodeps-es6,import-lazy,0,0,0,0
top1k-typed-nodeps-es6,imurmurhash,0,0,0,0
top1k-typed-nodeps-es6,indent-string,0,0,0,0
top1k-typed-nodeps-es6,inherits,0,0,0,0
top1k-typed-nodeps-es6,ini,0,NA,0,0
top1k-typed-nodeps-es6,interpret,0,0,0,0
top1k-typed-nodeps-es6,invert-kv,0,NA,1,0
top1k-typed-nodeps-es6,ip,0,0,0,0
top1k-typed-nodeps-es6,ip-regex,0,0,1,1
top1k-typed-nodeps-es6,ipaddr.js,NA,0,0,0
top1k-typed-nodeps-es6,is-absolute-url,0,1,0,1
top1k-typed-nodeps-es6,is-buffer,1,0,0,1
top1k-typed-nodeps-es6,is-callable,0,0,0,0
top1k-typed-nodeps-es6,is-directory,1,0,0,0
top1k-typed-nodeps-es6,is-docker,1,1,1,1
top1k-typed-nodeps-es6,is-fullwidth-code-point,1,1,1,1
