"System","Dataset","Package","Type checks"
LambdaNet,top1k-typed-nodeps-es6,p-try,0
LambdaNet,top1k-typed-nodeps-es6,parseurl,0
LambdaNet,top1k-typed-nodeps-es6,path-browserify,0
LambdaNet,top1k-typed-nodeps-es6,path-exists,0
LambdaNet,top1k-typed-nodeps-es6,path-is-absolute,0
LambdaNet,top1k-typed-nodeps-es6,path-is-inside,0
LambdaNet,top1k-typed-nodeps-es6,path-key,0
LambdaNet,top1k-typed-nodeps-es6,path-parse,0
LambdaNet,top1k-typed-nodeps-es6,path-type,0
LambdaNet,top1k-typed-nodeps-es6,picomatch,0
LambdaNet,top1k-typed-nodeps-es6,pify,0
LambdaNet,top1k-typed-nodeps-es6,postcss-modules-extract-imports,0
LambdaNet,top1k-typed-nodeps-es6,postcss-value-parser,0
LambdaNet,top1k-typed-nodeps-es6,prelude-ls,0
LambdaNet,top1k-typed-nodeps-es6,prepend-http,0
LambdaNet,top1k-typed-nodeps-es6,progress,0
LambdaNet,top1k-typed-nodeps-es6,punycode,0
LambdaNet,top1k-typed-nodeps-es6,queue-microtask,0
LambdaNet,top1k-typed-nodeps-es6,range-parser,0
LambdaNet,top1k-typed-nodeps-es6,regenerate,0
LambdaNet,top1k-typed-nodeps-es6,regexp-tree,0
LambdaNet,top1k-typed-nodeps-es6,repeat-element,0
LambdaNet,top1k-typed-nodeps-es6,repeat-string,0
LambdaNet,top1k-typed-nodeps-es6,require-directory,0
LambdaNet,top1k-typed-nodeps-es6,requires-port,1
LambdaNet,top1k-typed-nodeps-es6,resolve-from,0
LambdaNet,top1k-typed-nodeps-es6,retry,0
LambdaNet,top1k-typed-nodeps-es6,rsvp,0
LambdaNet,top1k-typed-nodeps-es6,safe-buffer,0
LambdaNet,top1k-typed-nodeps-es6,safer-buffer,0
LambdaNet,top1k-typed-nodeps-es6,sax,0
LambdaNet,top1k-typed-nodeps-es6,setimmediate,0
LambdaNet,top1k-typed-nodeps-es6,setprototypeof,0
LambdaNet,top1k-typed-nodeps-es6,shebang-regex,1
LambdaNet,top1k-typed-nodeps-es6,sisteransi,0
LambdaNet,top1k-typed-nodeps-es6,slash,0
LambdaNet,top1k-typed-nodeps-es6,source-list-map,0
LambdaNet,top1k-typed-nodeps-es6,split-on-first,0
