"System","Dataset","Package","File","Number of anys","Number of any[]","Number of Function","Total annotations"
SantaCoder,top1k-typed-nodeps,atob,node-atob.ts,0,0,0,1
SantaCoder,top1k-typed-nodeps,aws4,aws4.ts,1,0,0,26
SantaCoder,top1k-typed-nodeps,aws4,browser/index.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,aws4,example.ts,0,0,0,1
SantaCoder,top1k-typed-nodeps,aws4,lru.ts,3,0,0,10
SantaCoder,top1k-typed-nodeps,balanced-match,example.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,balanced-match,index.ts,0,0,0,8
SantaCoder,top1k-typed-nodeps,base64-js,base64js.min.ts,0,0,0,1
SantaCoder,top1k-typed-nodeps,base64-js,bench/basic.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,base64-js,bench/bench.ts,2,0,0,2
SantaCoder,top1k-typed-nodeps,base64-js,index.ts,0,0,0,11
SantaCoder,top1k-typed-nodeps,big.js,big.ts,3,0,0,33
SantaCoder,top1k-typed-nodeps,big.js,perf/bigtime.ts,2,0,0,6
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_GWT/bigdecimal.ts,117,0,0,795
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_GWT/bugs.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_ICU4J/BigDecimal-all-last.min.ts,1,0,0,22
SantaCoder,top1k-typed-nodeps,big.js,perf/lib/bigdecimal_ICU4J/BigDecimal-all-last.ts,1,3,0,43
SantaCoder,top1k-typed-nodeps,binary-extensions,index.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,bn.js,benchmarks/index.ts,77,0,0,89
SantaCoder,top1k-typed-nodeps,bn.js,lib/bn.ts,19,0,2,252
SantaCoder,top1k-typed-nodeps,bn.js,util/genCombMulTo.ts,0,0,0,2
SantaCoder,top1k-typed-nodeps,bn.js,util/genCombMulTo10.ts,0,0,0,2
SantaCoder,top1k-typed-nodeps,boolbase,index.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,brorand,index.ts,1,0,0,7
SantaCoder,top1k-typed-nodeps,browser-process-hrtime,index.ts,0,0,0,1
SantaCoder,top1k-typed-nodeps,buffer-crc32,index.ts,1,0,0,5
SantaCoder,top1k-typed-nodeps,buffer-from,index.ts,4,0,0,9
SantaCoder,top1k-typed-nodeps,bytes,index.ts,0,0,0,7
SantaCoder,top1k-typed-nodeps,cacheable-lookup,benchmark.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,cacheable-lookup,source/index.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,callsites,index.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,camelcase,index.ts,0,0,0,2
SantaCoder,top1k-typed-nodeps,caniuse-lite,check-mdn-bcd.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,check.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,commit.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,consumer.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,copy-mdn.ts,0,0,0,6
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/agents.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/browserVersions.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/browsers.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/aac.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/abortcontroller.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/ac3-ec3.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/accelerometer.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/addeventlistener.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/alternate-stylesheet.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/ambient-light.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/apng.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/array-find-index.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/array-find.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/array-flat.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/array-includes.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/arrow-functions.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/asmjs.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/async-clipboard.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/async-functions.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/atob-btoa.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/audio-api.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/audio.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/audiotracks.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/autofocus.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/auxclick.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/av1.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/avif.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/background-attachment.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/background-clip-text.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/background-img-opts.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/background-position-x-y.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/background-repeat-round-space.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/background-sync.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/battery-status.ts,0,0,0,0
SantaCoder,top1k-typed-nodeps,caniuse-lite,data/features/beacon.ts,0,0,0,0
