"System","Dataset","Package","File","Error code","Count"
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/init.ts,TS2300,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/init.ts,TS2554,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/listeners.ts,TS2393,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/once.ts,TS2300,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/once.ts,TS2393,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/once.ts,TS2554,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/once.ts,TS2339,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/remove-emit.ts,TS2300,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/remove-emit.ts,TS2393,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/remove-emit.ts,TS2554,1
DeepTyper,top1k-typed-nodeps,eventemitter3,benchmarks/run/remove-emit.ts,TS2339,4
DeepTyper,top1k-typed-nodeps,eventemitter3,index.ts,TS2322,2
DeepTyper,top1k-typed-nodeps,eventemitter3,index.ts,TS2300,1
DeepTyper,top1k-typed-nodeps,eventemitter3,index.ts,TS2339,1
DeepTyper,top1k-typed-nodeps,eventemitter3,index.ts,TS2769,1
DeepTyper,top1k-typed-nodeps,events,events.ts,TS2322,4
DeepTyper,top1k-typed-nodeps,events,events.ts,TS2769,1
DeepTyper,top1k-typed-nodeps,events,events.ts,TS2349,4
DeepTyper,top1k-typed-nodeps,events,events.ts,TS2339,2
DeepTyper,top1k-typed-nodeps,events,events.ts,TS2345,1
DeepTyper,top1k-typed-nodeps,exit,Gruntfile.ts,TS2304,1
DeepTyper,top1k-typed-nodeps,extend,index.ts,TS2322,6
DeepTyper,top1k-typed-nodeps,extend,index.ts,TS2339,6
DeepTyper,top1k-typed-nodeps,extend,index.ts,TS2349,7
DeepTyper,top1k-typed-nodeps,extend,index.ts,TS2554,1
DeepTyper,top1k-typed-nodeps,extsprintf,lib/extsprintf.ts,TS2322,2
DeepTyper,top1k-typed-nodeps,extsprintf,lib/extsprintf.ts,TS2554,1
DeepTyper,top1k-typed-nodeps,extsprintf,lib/extsprintf.ts,TS2550,3
DeepTyper,top1k-typed-nodeps,fast-deep-equal,build.ts,TS2349,4
DeepTyper,top1k-typed-nodeps,fast-json-stable-stringify,index.ts,TS2322,1
DeepTyper,top1k-typed-nodeps,fast-json-stable-stringify,index.ts,TS2349,1
DeepTyper,top1k-typed-nodeps,filesize,lib/filesize.es6.min.ts,TS1345,1
DeepTyper,top1k-typed-nodeps,filesize,lib/filesize.es6.min.ts,TS2304,3
DeepTyper,top1k-typed-nodeps,filesize,lib/filesize.es6.min.ts,TS2367,1
DeepTyper,top1k-typed-nodeps,filesize,lib/filesize.es6.ts,TS2304,3
DeepTyper,top1k-typed-nodeps,filesize,lib/filesize.es6.ts,TS2322,17
DeepTyper,top1k-typed-nodeps,filesize,lib/filesize.es6.ts,TS2367,6
DeepTyper,top1k-typed-nodeps,filesize,lib/filesize.es6.ts,TS2538,3
DeepTyper,top1k-typed-nodeps,filesize,lib/filesize.es6.ts,TS2769,2
DeepTyper,top1k-typed-nodeps,filesize,lib/filesize.esm.min.ts,TS2367,1
DeepTyper,top1k-typed-nodeps,filesize,lib/filesize.esm.ts,TS2322,17
DeepTyper,top1k-typed-nodeps,filesize,lib/filesize.esm.ts,TS2367,6
DeepTyper,top1k-typed-nodeps,filesize,lib/filesize.esm.ts,TS2538,3
DeepTyper,top1k-typed-nodeps,filesize,lib/filesize.esm.ts,TS2769,2
DeepTyper,top1k-typed-nodeps,filesize,lib/filesize.min.ts,TS1345,1
DeepTyper,top1k-typed-nodeps,filesize,lib/filesize.min.ts,TS2304,3
DeepTyper,top1k-typed-nodeps,filesize,lib/filesize.min.ts,TS2630,1
DeepTyper,top1k-typed-nodeps,filesize,lib/filesize.min.ts,TS2345,1
