"System","Dataset","Package","Number of function signatures compared","Number of correct annotations","Number of inferred anys","Number of annotations checked","Number of ground truth anys skipped"
deeptyper,top1k-typed-nodeps-es6,safe-buffer,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,safer-buffer,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,setimmediate,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,setprototypeof,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,shebang-regex,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,signal-exit,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,sisteransi,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,slash,1,2,0,2,0
deeptyper,top1k-typed-nodeps-es6,source-list-map,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,split-on-first,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,split-string,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,sprintf-js,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,statuses,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,stream-shift,1,0,2,2,0
deeptyper,top1k-typed-nodeps-es6,strict-uri-encode,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,strip-bom,1,1,1,2,0
deeptyper,top1k-typed-nodeps-es6,strip-final-newline,1,0,0,2,0
deeptyper,top1k-typed-nodeps-es6,strip-json-comments,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,symbol-observable,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,symbol-tree,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,tapable,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,throat,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,through,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,tmpl,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,to-fast-properties,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,trim-newlines,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,tslib,16,4,33,24,26
deeptyper,top1k-typed-nodeps-es6,type,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,typedarray-to-buffer,1,0,2,2,0
deeptyper,top1k-typed-nodeps-es6,universalify,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,urix,1,2,0,2,0
deeptyper,top1k-typed-nodeps-es6,util-deprecate,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,utils-merge,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,uuid,0,0,0,0,0
