"Package","Contains code","Is typed","Number of deps","Number of typed deps","Percentage of typed deps"
elliptic,True,True,7,4,0.57
emittery,True,False,0,0,NA
emoji-regex,True,False,0,0,NA
emojis-list,True,False,0,0,NA
encodeurl,True,True,0,0,NA
end-of-stream,True,True,1,1,1.00
enhanced-resolve,True,True,2,2,1.00
enquirer,True,False,1,0,0.00
entities,True,False,0,0,NA
errno,True,False,1,0,0.00
error-ex,True,False,1,0,0.00
es-abstract,True,True,18,12,0.67
es-get-iterator,True,True,8,6,0.75
es-module-lexer,True,False,0,0,NA
es-to-primitive,True,True,3,2,0.67
es5-ext,True,False,3,1,0.33
es6-iterator,True,False,3,1,0.33
es6-object-assign,True,False,0,0,NA
es6-symbol,True,False,2,1,0.50
escalade,True,False,0,0,NA
escape-html,True,True,0,0,NA
escape-string-regexp,True,False,0,0,NA
escodegen,True,True,4,3,0.75
eslint,True,True,40,20,0.50
eslint-import-resolver-node,True,False,2,2,1.00
eslint-module-utils,True,False,2,1,0.50
eslint-plugin-import,True,False,15,7,0.47
eslint-scope,True,True,2,1,0.50
eslint-utils,True,True,1,1,1.00
eslint-visitor-keys,True,True,0,0,NA
espree,True,False,3,1,0.33
esprima,True,True,0,0,NA
esquery,True,True,1,1,1.00
esrecurse,True,False,1,1,1.00
estraverse,True,True,0,0,NA
esutils,True,True,0,0,NA
etag,True,True,0,0,NA
eventemitter3,True,False,0,0,NA
events,True,True,0,0,NA
eventsource,True,True,0,0,NA
evp_bytestokey,True,False,2,0,0.00
exec-sh,True,False,0,0,NA
execa,True,False,9,4,0.44
exit,True,True,0,0,NA
expand-brackets,True,False,4,2,0.50
expect,True,False,6,0,0.00
express,True,True,30,26,0.87
ext,True,False,1,0,0.00
extend,True,True,0,0,NA
extend-shallow,True,False,2,0,0.00
external-editor,True,False,3,2,0.67
extglob,True,False,8,3,0.38
extsprintf,True,True,0,0,NA
fast-deep-equal,True,False,0,0,NA
fast-glob,True,False,5,3,0.60
fast-json-stable-stringify,True,False,0,0,NA
fast-levenshtein,True,True,1,0,0.00
fastest-levenshtein,True,False,0,0,NA
fastq,True,False,1,0,0.00
faye-websocket,True,False,1,0,0.00
fb-watchman,True,True,1,1,1.00
fetch-blob,True,False,2,0,0.00
figgy-pudding,True,False,0,0,NA
figures,True,False,2,0,0.00
file-entry-cache,True,True,1,1,1.00
file-loader,True,True,2,1,0.50
file-type,True,False,3,0,0.00
file-uri-to-path,True,False,0,0,NA
filesize,True,False,0,0,NA
fill-range,True,True,1,1,1.00
filter-obj,True,False,0,0,NA
finalhandler,True,True,7,6,0.86
find-cache-dir,True,True,3,1,0.33
find-up,True,False,2,0,0.00
flat-cache,True,True,2,1,0.50
flatted,True,False,0,0,NA
flush-write-stream,True,True,2,2,1.00
follow-redirects,True,True,0,0,NA
for-each,True,False,1,1,1.00
for-in,True,False,0,0,NA
forever-agent,True,True,0,0,NA
form-data,True,False,3,2,0.67
forwarded,True,True,0,0,NA
fraction.js,True,False,0,0,NA
fragment-cache,True,False,1,0,0.00
fresh,True,True,0,0,NA
from2,True,True,2,2,1.00
fs-constants,True,False,0,0,NA
fs-extra,True,True,3,3,1.00
fs-minipass,True,False,1,0,0.00
fs-monkey,True,False,0,0,NA
fs-write-stream-atomic,True,False,4,4,1.00
fs.realpath,True,False,0,0,NA
fsevents,True,False,0,0,NA
function-bind,True,True,0,0,NA
functional-red-black-tree,True,True,0,0,NA
gauge,True,False,9,3,0.33
gensync,True,True,0,0,NA
get-caller-file,True,False,0,0,NA
get-intrinsic,True,True,3,3,1.00
get-package-type,False,False,0,0,NA
get-stdin,True,False,0,0,NA
get-stream,True,False,0,0,NA
get-symbol-description,True,False,2,2,1.00
get-value,True,True,1,0,0.00
getpass,True,True,1,1,1.00
glob,True,True,6,4,0.67
glob-parent,True,True,1,1,1.00
glob-to-regexp,True,True,0,0,NA
global-dirs,True,False,1,1,1.00
global-modules,True,True,1,1,1.00
global-prefix,True,True,3,3,1.00
globals,True,False,1,0,0.00
globby,True,False,6,2,0.33
got,True,True,11,2,0.18
graceful-fs,True,True,0,0,NA
growly,True,False,0,0,NA
har-schema,True,False,0,0,NA
har-validator,True,False,2,0,0.00
hard-rejection,True,False,0,0,NA
has,True,True,1,1,1.00
has-ansi,True,True,1,0,0.00
has-bigints,True,False,0,0,NA
has-flag,True,False,0,0,NA
has-own-deep,True,False,1,0,0.00
has-symbols,True,True,0,0,NA
has-tostringtag,True,False,1,1,1.00
has-unicode,True,False,0,0,NA
has-value,True,False,2,1,0.50
has-values,True,False,1,1,1.00
hash-base,True,False,3,2,0.67
hash.js,True,False,2,2,1.00
he,True,True,0,0,NA
hmac-drbg,True,False,3,1,0.33
hoist-non-react-statics,True,True,1,1,1.00
hosted-git-info,True,True,1,0,0.00
html-encoding-sniffer,True,True,1,1,1.00
html-entities,True,False,0,0,NA
html-escaper,True,True,0,0,NA
htmlparser2,True,True,4,2,0.50
http-cache-semantics,True,True,0,0,NA
http-errors,True,True,5,3,0.60
http-parser-js,True,False,0,0,NA
http-proxy,True,True,3,2,0.67
http-proxy-agent,True,False,3,2,0.67
http-proxy-middleware,True,False,5,3,0.60
http-signature,True,False,3,2,0.67
http2-wrapper,True,False,2,0,0.00
https-browserify,True,False,0,0,NA
https-proxy-agent,True,False,2,2,1.00
human-signals,True,False,0,0,NA
iconv-lite,True,False,1,1,1.00
icss-utils,True,True,0,0,NA
ieee754,True,False,0,0,NA
iferr,True,True,0,0,NA
ignore,True,False,0,0,NA
import-fresh,True,False,2,0,0.00
import-from,True,False,0,0,NA
import-lazy,True,False,0,0,NA
import-local,True,False,2,0,0.00
imurmurhash,True,True,0,0,NA
indent-string,True,False,0,0,NA
infer-owner,True,False,0,0,NA
inflight,True,False,2,1,0.50
inherits,True,True,0,0,NA
ini,True,True,0,0,NA
inquirer,True,True,14,3,0.21
internal-slot,True,True,3,2,0.67
interpret,True,True,0,0,NA
invariant,True,True,1,0,0.00
invert-kv,True,False,0,0,NA
ip,True,True,0,0,NA
ip-regex,True,False,0,0,NA
ipaddr.js,True,False,0,0,NA
is-absolute-url,True,False,0,0,NA
is-accessor-descriptor,True,False,0,0,NA
is-arguments,True,True,2,1,0.50
is-arrayish,True,False,0,0,NA
is-bigint,True,True,1,0,0.00
is-binary-path,True,False,1,0,0.00
is-boolean-object,True,True,2,1,0.50
is-buffer,True,True,0,0,NA
is-callable,True,True,0,0,NA
is-ci,True,True,1,0,0.00
is-core-module,True,True,1,1,1.00
is-data-descriptor,True,True,1,1,1.00
is-date-object,True,True,1,0,0.00
is-descriptor,True,False,0,0,NA
is-directory,True,False,0,0,NA
is-docker,True,False,0,0,NA
is-extendable,True,False,1,0,0.00
is-extglob,True,False,0,0,NA
is-fullwidth-code-point,True,False,0,0,NA
is-generator-fn,True,False,0,0,NA
is-generator-function,True,True,1,0,0.00
is-glob,True,True,1,0,0.00
is-installed-globally,True,False,2,0,0.00
is-interactive,True,False,0,0,NA
is-map,True,False,0,0,NA
is-nan,True,False,2,2,1.00
is-negative-zero,True,False,0,0,NA
is-number,True,True,0,0,NA
is-number-object,True,False,1,0,0.00
is-obj,True,False,0,0,NA
is-path-cwd,True,False,0,0,NA
is-path-in-cwd,True,False,1,0,0.00
is-path-inside,True,False,0,0,NA
is-plain-obj,True,False,0,0,NA
is-plain-object,True,False,0,0,NA
is-potential-custom-element-name,True,False,0,0,NA
is-primitive,True,False,0,0,NA
is-promise,True,False,0,0,NA
is-regex,True,True,2,1,0.50
is-set,True,False,0,0,NA
is-stream,True,False,0,0,NA
is-string,True,True,1,0,0.00
is-symbol,True,False,1,1,1.00
is-typed-array,True,False,5,2,0.40
is-typedarray,True,True,0,0,NA
is-unicode-supported,True,False,0,0,NA
is-weakmap,True,False,0,0,NA
is-weakset,True,False,2,2,1.00
is-windows,True,True,0,0,NA
is-wsl,True,False,1,0,0.00
isarray,True,True,0,0,NA
isexe,True,True,0,0,NA
isobject,True,False,0,0,NA
isstream,True,True,0,0,NA
istanbul-lib-coverage,True,True,0,0,NA
istanbul-lib-instrument,True,True,5,2,0.40
istanbul-lib-report,True,True,3,2,0.67
istanbul-lib-source-maps,True,True,3,2,0.67
istanbul-reports,True,True,2,2,1.00
jest,True,True,3,0,0.00
jest-changed-files,True,False,3,0,0.00
jest-circus,True,False,19,3,0.16
jest-cli,True,False,12,4,0.33
jest-config,True,False,21,4,0.19
jest-diff,True,False,4,0,0.00
jest-docblock,True,False,1,0,0.00
jest-each,True,False,5,0,0.00
jest-environment-jsdom,True,False,7,1,0.14
jest-environment-node,True,False,6,0,0.00
jest-get-type,True,False,0,0,NA
jest-haste-map,True,False,12,3,0.25
jest-jasmine2,True,False,18,1,0.06
jest-leak-detector,True,False,2,0,0.00
jest-matcher-utils,True,False,4,0,0.00
jest-message-util,True,False,9,3,0.33
jest-mock,True,False,2,0,0.00
jest-pnp-resolver,True,False,0,0,NA
jest-regex-util,True,False,0,0,NA
jest-resolve,True,False,10,2,0.20
jest-resolve-dependencies,True,False,3,0,0.00
jest-runner,True,False,22,3,0.14
jest-runtime,True,False,27,4,0.15
jest-serializer,True,False,2,1,0.50
jest-snapshot,True,False,24,3,0.12
jest-util,True,False,6,3,0.50
jest-validate,True,False,6,0,0.00
jest-watcher,True,False,7,0,0.00
jest-worker,True,False,3,2,0.67
jquery,True,True,0,0,NA
js-tokens,True,False,0,0,NA
