Package,File,"Number of errors"
regenerate-unicode-properties,Script_Extensions/Hatran.ts,2
regenerate-unicode-properties,Script_Extensions/Hebrew.ts,2
regenerate-unicode-properties,Script_Extensions/Hiragana.ts,2
regenerate-unicode-properties,Script_Extensions/Imperial_Aramaic.ts,2
regenerate-unicode-properties,Script_Extensions/Inherited.ts,2
regenerate-unicode-properties,Script_Extensions/Inscriptional_Pahlavi.ts,2
regenerate-unicode-properties,Script_Extensions/Inscriptional_Parthian.ts,2
regenerate-unicode-properties,Script_Extensions/Javanese.ts,2
regenerate-unicode-properties,Script_Extensions/Kaithi.ts,2
regenerate-unicode-properties,Script_Extensions/Kannada.ts,2
regenerate-unicode-properties,Script_Extensions/Katakana.ts,2
regenerate-unicode-properties,Script_Extensions/Kayah_Li.ts,2
regenerate-unicode-properties,Script_Extensions/Kharoshthi.ts,2
regenerate-unicode-properties,Script_Extensions/Khitan_Small_Script.ts,2
regenerate-unicode-properties,Script_Extensions/Khmer.ts,2
regenerate-unicode-properties,Script_Extensions/Khojki.ts,2
regenerate-unicode-properties,Script_Extensions/Khudawadi.ts,2
regenerate-unicode-properties,Script_Extensions/Lao.ts,2
regenerate-unicode-properties,Script_Extensions/Latin.ts,2
regenerate-unicode-properties,Script_Extensions/Lepcha.ts,2
regenerate-unicode-properties,Script_Extensions/Limbu.ts,2
regenerate-unicode-properties,Script_Extensions/Linear_A.ts,2
regenerate-unicode-properties,Script_Extensions/Linear_B.ts,2
regenerate-unicode-properties,Script_Extensions/Lisu.ts,2
regenerate-unicode-properties,Script_Extensions/Lycian.ts,2
regenerate-unicode-properties,Script_Extensions/Lydian.ts,2
regenerate-unicode-properties,Script_Extensions/Mahajani.ts,2
regenerate-unicode-properties,Script_Extensions/Makasar.ts,2
regenerate-unicode-properties,Script_Extensions/Malayalam.ts,2
regenerate-unicode-properties,Script_Extensions/Mandaic.ts,2
regenerate-unicode-properties,Script_Extensions/Manichaean.ts,2
regenerate-unicode-properties,Script_Extensions/Marchen.ts,2
regenerate-unicode-properties,Script_Extensions/Masaram_Gondi.ts,2
regenerate-unicode-properties,Script_Extensions/Medefaidrin.ts,2
regenerate-unicode-properties,Script_Extensions/Meetei_Mayek.ts,2
regenerate-unicode-properties,Script_Extensions/Mende_Kikakui.ts,2
regenerate-unicode-properties,Script_Extensions/Meroitic_Cursive.ts,2
regenerate-unicode-properties,Script_Extensions/Meroitic_Hieroglyphs.ts,2
regenerate-unicode-properties,Script_Extensions/Miao.ts,2
regenerate-unicode-properties,Script_Extensions/Modi.ts,2
regenerate-unicode-properties,Script_Extensions/Mongolian.ts,2
regenerate-unicode-properties,Script_Extensions/Mro.ts,2
regenerate-unicode-properties,Script_Extensions/Multani.ts,2
regenerate-unicode-properties,Script_Extensions/Myanmar.ts,2
regenerate-unicode-properties,Script_Extensions/Nabataean.ts,2
regenerate-unicode-properties,Script_Extensions/Nandinagari.ts,2
regenerate-unicode-properties,Script_Extensions/New_Tai_Lue.ts,2
regenerate-unicode-properties,Script_Extensions/Newa.ts,2
regenerate-unicode-properties,Script_Extensions/Nko.ts,2
regenerate-unicode-properties,Script_Extensions/Nushu.ts,2
regenerate-unicode-properties,Script_Extensions/Nyiakeng_Puachue_Hmong.ts,2
regenerate-unicode-properties,Script_Extensions/Ogham.ts,2
regenerate-unicode-properties,Script_Extensions/Ol_Chiki.ts,2
regenerate-unicode-properties,Script_Extensions/Old_Hungarian.ts,2
regenerate-unicode-properties,Script_Extensions/Old_Italic.ts,2
regenerate-unicode-properties,Script_Extensions/Old_North_Arabian.ts,2
regenerate-unicode-properties,Script_Extensions/Old_Permic.ts,2
regenerate-unicode-properties,Script_Extensions/Old_Persian.ts,2
regenerate-unicode-properties,Script_Extensions/Old_Sogdian.ts,2
regenerate-unicode-properties,Script_Extensions/Old_South_Arabian.ts,2
regenerate-unicode-properties,Script_Extensions/Old_Turkic.ts,2
regenerate-unicode-properties,Script_Extensions/Old_Uyghur.ts,2
regenerate-unicode-properties,Script_Extensions/Oriya.ts,2
regenerate-unicode-properties,Script_Extensions/Osage.ts,2
regenerate-unicode-properties,Script_Extensions/Osmanya.ts,2
regenerate-unicode-properties,Script_Extensions/Pahawh_Hmong.ts,2
regenerate-unicode-properties,Script_Extensions/Palmyrene.ts,2
regenerate-unicode-properties,Script_Extensions/Pau_Cin_Hau.ts,2
regenerate-unicode-properties,Script_Extensions/Phags_Pa.ts,2
regenerate-unicode-properties,Script_Extensions/Phoenician.ts,2
regenerate-unicode-properties,Script_Extensions/Psalter_Pahlavi.ts,2
regenerate-unicode-properties,Script_Extensions/Rejang.ts,2
regenerate-unicode-properties,Script_Extensions/Runic.ts,2
regenerate-unicode-properties,Script_Extensions/Samaritan.ts,2
regenerate-unicode-properties,Script_Extensions/Saurashtra.ts,2
regenerate-unicode-properties,Script_Extensions/Sharada.ts,2
regenerate-unicode-properties,Script_Extensions/Shavian.ts,2
regenerate-unicode-properties,Script_Extensions/Siddham.ts,2
regenerate-unicode-properties,Script_Extensions/SignWriting.ts,2
regenerate-unicode-properties,Script_Extensions/Sinhala.ts,2
regenerate-unicode-properties,Script_Extensions/Sogdian.ts,2
regenerate-unicode-properties,Script_Extensions/Sora_Sompeng.ts,2
regenerate-unicode-properties,Script_Extensions/Soyombo.ts,2
regenerate-unicode-properties,Script_Extensions/Sundanese.ts,2
regenerate-unicode-properties,Script_Extensions/Syloti_Nagri.ts,2
regenerate-unicode-properties,Script_Extensions/Syriac.ts,2
regenerate-unicode-properties,Script_Extensions/Tagalog.ts,2
regenerate-unicode-properties,Script_Extensions/Tagbanwa.ts,2
regenerate-unicode-properties,Script_Extensions/Tai_Le.ts,2
regenerate-unicode-properties,Script_Extensions/Tai_Tham.ts,2
regenerate-unicode-properties,Script_Extensions/Tai_Viet.ts,2
regenerate-unicode-properties,Script_Extensions/Takri.ts,2
regenerate-unicode-properties,Script_Extensions/Tamil.ts,2
regenerate-unicode-properties,Script_Extensions/Tangsa.ts,2
regenerate-unicode-properties,Script_Extensions/Tangut.ts,2
regenerate-unicode-properties,Script_Extensions/Telugu.ts,2
regenerate-unicode-properties,Script_Extensions/Thaana.ts,2
regenerate-unicode-properties,Script_Extensions/Thai.ts,2
regenerate-unicode-properties,Script_Extensions/Tibetan.ts,2
regenerate-unicode-properties,Script_Extensions/Tifinagh.ts,2
regenerate-unicode-properties,Script_Extensions/Tirhuta.ts,2
regenerate-unicode-properties,Script_Extensions/Toto.ts,2
regenerate-unicode-properties,Script_Extensions/Ugaritic.ts,2
regenerate-unicode-properties,Script_Extensions/Vai.ts,2
regenerate-unicode-properties,Script_Extensions/Vithkuqi.ts,2
regenerate-unicode-properties,Script_Extensions/Wancho.ts,2
regenerate-unicode-properties,Script_Extensions/Warang_Citi.ts,2
regenerate-unicode-properties,Script_Extensions/Yezidi.ts,2
regenerate-unicode-properties,Script_Extensions/Yi.ts,2
